"","strFrom","strTo","freq"
"312","Scr.E.Pk","Spotup",19
"313","Scr.E.Pk","Stg.Pk",8
"314","Scr.E.Pk","Stg.Scr",1
"315","Scr.E.Pk","turnover",3
"316","Scr.E.Pk_SamePl","1on1",3
"317","Scr.E.Pk_SamePl","Cut",1
"318","Scr.E.Pk_SamePl","Dime in",1
"319","Scr.E.Pk_SamePl","field_goal",5
"320","Scr.E.Pk_SamePl","foul",1
"321","Scr.E.Pk_SamePl","Hdoff",1
"322","Scr.E.Pk_SamePl","None",1
"323","Scr.E.Pk_SamePl","Pick",5
"324","Scr.E.Pk_SamePl","Post",1
"325","Scr.E.Pk_SamePl","Rc.Pk.E.Mk.Hdof",1
"326","Scr.E.Pk_SamePl","Re-Pick",2
"327","Scr.E.Pk_SamePl","Screen",1
"328","Scr.E.Pk_SamePl","Seq.Scr.Mk",1
"329","Scr.E.Pk_SamePl","Spotup",12
"330","Scr.E.Pk_SamePl","Stg.Pk",2
"331","Scr.E.Pk_SamePl","turnover",1
"332","Screen","1on1",45
"333","Screen","Cut",10
"334","Screen","Dime in",3
"335","Screen","field_goal",71
"336","Screen","foul",15
"337","Screen","Hdof F Post",0
"338","Screen","Hdof_Scr.Rc",45
"339","Screen","Hdof_Scrner",0
"340","Screen","Hdoff",46
"341","Screen","Hdoff.E.Re-Pick",0
"342","Screen","None",3
"343","Screen","Pick",117
"344","Screen","Pick_Screener",0
"345","Screen","Pk_Hdof.Rc",1
"346","Screen","Pk_Scr.Rc",14
"347","Screen","Post",32
"348","Screen","Rc.Hdof.E.Mk.One",0
"349","Screen","Rc.Scr.E.Mk.Hdof",3
"350","Screen","Rc.Scr.E.MkOne",9
"351","Screen","Rc.Scr.E.Pk",41
"352","Screen","Re-Screen",13
"353","Screen","Scr_Pker",0
"354","Screen","Scr_Scrner",51
"355","Screen","Scr.E.Hdof",4
"356","Screen","Scr.E.Pk",70
"357","Screen","Scr.E.Pk_SamePl",19
"358","Screen","Screen",180
"359","Screen","Seq.Scr.Mk",39
"360","Screen","Spotup",15
"361","Screen","Stg.Pk",2
"362","Screen","Stg.Scr",206
"363","Screen","turnover",16
"364","Seq.Scr.Mk","1on1",3
"365","Seq.Scr.Mk","field_goal",4
"366","Seq.Scr.Mk","foul",0
"367","Seq.Scr.Mk","Hdof_Scr.Rc",1
"368","Seq.Scr.Mk","Hdof_Scrner",1
"369","Seq.Scr.Mk","Hdoff",0
"370","Seq.Scr.Mk","Pick",4
"371","Seq.Scr.Mk","Post",1
"372","Seq.Scr.Mk","Rc.Scr.E.MkOne",1
"373","Seq.Scr.Mk","Rc.Scr.E.Pk",2
"374","Seq.Scr.Mk","Scr_Scrner",1
"375","Seq.Scr.Mk","Scr.E.Pk",1
"376","Seq.Scr.Mk","Scr.E.Pk_SamePl",4
"377","Seq.Scr.Mk","Screen",4
"378","Seq.Scr.Mk","Seq.Scr.Mk",4
"379","Seq.Scr.Mk","Spotup",2
"380","Seq.Scr.Mk","Stg.Pk",1
"381","Seq.Scr.Mk","Stg.Scr",15
"382","Seq.Scr.Mk","turnover",1
"383","Spotup","1on1",5
"384","Spotup","Cut",3
"385","Spotup","Dime in",19
"386","Spotup","field_goal",322
"387","Spotup","foul",22
"388","Spotup","Pick",16
"389","Spotup","Post",7
"390","Spotup","Screen",4
"391","Spotup","Spotup",99
"392","Spotup","turnover",37
"393","Stg.Pk","1on1",5
"394","Stg.Pk","Cut",3
"395","Stg.Pk","Dime in",2
"396","Stg.Pk","field_goal",10
"397","Stg.Pk","foul",3
"398","Stg.Pk","Hdoff",0
"399","Stg.Pk","None",0
"400","Stg.Pk","Pick",5
"401","Stg.Pk","Pk_Scr.Rc",1
"402","Stg.Pk","Pk.E.Scr",2
"403","Stg.Pk","Post",3
"404","Stg.Pk","Rc.Hdof.E.Mk.One",1
"405","Stg.Pk","Re-Pick",5
"406","Stg.Pk","Scr_Hdof.Mk",1
"407","Stg.Pk","Scr_Pker",1
"408","Stg.Pk","Scr.E.Pk",1
"409","Stg.Pk","Screen",1
"410","Stg.Pk","Spotup",2
"411","Stg.Pk","Stg.Pk",0
"412","Stg.Pk","turnover",2
"413","Stg.Scr","1on1",14
"414","Stg.Scr","Cut",4
"415","Stg.Scr","Dime in",2
"416","Stg.Scr","field_goal",23
"417","Stg.Scr","foul",12
"418","Stg.Scr","Hdof_Scr.Rc",2
"419","Stg.Scr","Hdof/Post",0
"420","Stg.Scr","Hdoff",24
"421","Stg.Scr","None",0
"422","Stg.Scr","Pick",36
"423","Stg.Scr","Pk_Scr.Rc",0
"424","Stg.Scr","Pk.E.Scr",0
"425","Stg.Scr","Post",23
"426","Stg.Scr","Rc.Scr.E.MkOne",0
"427","Stg.Scr","Rc.Scr.E.Pk",1
"428","Stg.Scr","Re-Screen",0
"429","Stg.Scr","Scr_Pker",1
"430","Stg.Scr","Scr_Scrner",25
"431","Stg.Scr","Scr.E.Hdof",1
"432","Stg.Scr","Scr.E.Pk",7
"433","Stg.Scr","Scr.E.Pk_SamePl",8
"434","Stg.Scr","Screen",30
"435","Stg.Scr","Seq.Scr.Mk",4
"436","Stg.Scr","Spotup",13
"437","Stg.Scr","Stg.Scr",21
"438","Stg.Scr","turnover",11
